DIGITAL_HX,DIGITAL_TREMOR,TOTAL_CONV
1.39,0.0,16
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
1.26,0.0,2
0.0,0.0,2
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.36,0.0,13
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.12,8
0.0,0.0,1
0.0,0.0,1
7.18,0.0,1
0.0,1.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,2.88,2
0.0,0.0,1
0.0,10.0,5
0.18,0.0,85
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
4.36,2.0,1
1.0,0.0,1
0.0,0.33,3
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
5.2,0.0,1
0.0,0.0,1
1.03,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,6.0,4
0.0,0.0,1
0.0,0.0,2
0.51,0.0,3
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
2.2,0.0,1
5.56,0.0,1
0.0,0.0,1
1.4,0.0,3
0.0,0.0,1
0.0,0.0,1
0.0,11.66,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.11,1
0.0,0.0,1
