TV_PRIMEACCESS,TV_LATEFRINGE,TV_PRIME,TV_DAYTIME,TV_EARLYMORNING,TV_EARLYFRINGE,TV_OVERNIGHT,TOTAL_CONV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
13.0,11.0,34.0,23.0,0.0,43.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,3.0,0.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.61,3.65,0.76,4.6,0.0,3.97,1
0.0,2.0,4.0,3.0,7.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,0.0,1.51,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,2.0,3.0,0.0,2.0,0.0,0
0.0,2.0,9.0,5.0,3.0,0.0,0.0,0
0.0,1.0,0.0,3.0,0.0,2.0,3.0,0
2.0,15.0,12.0,4.0,2.0,7.0,1.0,0
0.0,3.0,0.0,1.0,6.0,0.0,0.0,0
0.0,0.0,0.0,2.0,6.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,2.0,0.0,0.0,0.0,0.0,1.0,0
0.0,6.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,4.64,11.74,7.77,4.16,3.24,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.0,0.0,1.0,16.0,0.0,10.0,0.0,0
5.0,6.0,16.0,3.0,0.0,0.0,2.0,0
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.17,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2.0,0.0,5.0,0.0,0.0,2.0,0.0,0
0.0,0.0,7.0,5.0,9.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,3.0,7.0,1.0,1.0,0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,5.0,0.0,0.0,0.0,0
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0
0.0,7.0,0.0,0.0,0.0,0.0,3.0,0
0.0,0.0,1.0,0.0,1.0,2.0,0.0,0
0.0,0.0,1.0,1.0,0.0,7.0,0.0,0
0.0,0.0,4.0,1.0,0.0,2.0,0.0,0
0.0,10.0,7.0,0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,4.0,1.0,29.0,6.0,7.0,1.0,0
2.0,2.0,1.0,1.0,0.0,2.0,2.0,0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0
0.0,2.0,0.0,0.0,3.0,0.0,4.0,0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
0.34,0.72,0.0,0.82,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
0.0,3.0,2.0,0.0,3.0,2.0,5.0,0
0.0,1.0,1.0,3.0,0.0,1.0,0.0,0
0.08,0.0,0.0,2.72,0.0,1.16,0.0,1
0.0,1.0,2.0,2.0,0.0,0.0,13.0,0
